"No.","Residence Hall","Room","Occupancy","Time"
62,"Gregorian Quad A ","408C ",1,4/2/09 6:30:14
63,"East Andrews ",206,1,4/2/09 6:30:35
64,"Gregorian Quad A ","408E ",1,4/2/09 6:30:51
65,"Gregorian Quad A ","409D ",1,4/2/09 6:31:14
66,"Metcalf ",116,1,4/2/09 6:31:30
67,"East Andrews ",222,1,4/2/09 6:31:42
68,"Gregorian Quad A ",210,5,4/2/09 6:31:57
69,"East Andrews ",322,1,4/2/09 6:32:14
70,"New Pembroke #4 ",227,1,4/2/09 6:32:27
71,"East Andrews ",256,1,4/2/09 6:32:43
72,"Barbour Hall Apartments ",340,4,4/2/09 6:32:57
73,"East Andrews ",460,1,4/2/09 6:33:09
74,"Gregorian Quad A ",313,4,4/2/09 6:33:24
75,"Metcalf ",416,1,4/2/09 6:33:41
76,"East Andrews ",422,1,4/2/09 6:33:55
77,"Young Orchard #2 ",410,4,4/2/09 6:34:15
77,"Young Orchard #2 ",420,4,4/2/09 6:34:17
78,"East Andrews ",208,1,4/2/09 6:34:28
79,"Barbour Hall ",204,1,4/2/09 6:34:46
80,"Metcalf ",309,1,4/2/09 6:35:16
81,"Gregorian Quad B ","402B ",1,4/2/09 6:35:39
81,"Gregorian Quad B ","402F ",1,4/2/09 6:35:37
81,"Gregorian Quad B ","403C ",1,4/2/09 6:36:02
81,"Gregorian Quad B ","403F ",1,4/2/09 6:35:43
81,"Gregorian Quad B ","405A ",1,4/2/09 6:35:56
82,"Hegeman ","A202 ",1,4/2/09 6:36:33
83,"East Andrews ",458,1,4/2/09 6:36:47
84,"Young Orchard #2 ",340,4,4/2/09 6:37:00
85,"Hegeman ","A102 ",1,4/2/09 6:37:14
86,"Minden ",301,3,4/2/09 6:37:33
87,"Young Orchard #10 ",210,4,4/2/09 6:37:57
87,"Young Orchard #10 ",240,4,4/2/09 6:37:59
88,"West Andrews ",419,1,4/2/09 6:38:10
89,"New Pembroke #2 ",104,1,4/2/09 6:38:28
90,"No Show ",,,4/2/09 6:38:44
91,"Young Orchard #4 ",310,4,4/2/09 6:39:00
91,"Young Orchard #4 ",320,4,4/2/09 6:39:01
92,"Young Orchard #2 ",330,4,4/2/09 6:39:17
93,"No Show ",,,4/2/09 6:39:34
94,"Metcalf ",311,1,4/2/09 6:39:52
94,"Metcalf ",313,1,4/2/09 6:39:54
95,"Gregorian Quad A ",307,5,4/2/09 6:40:10
96,"West Andrews ",305,1,4/2/09 6:40:34
97,"Gregorian Quad A ","409F ",1,4/2/09 6:40:56
98,"Gregorian Quad A ",213,4,4/2/09 6:41:19
98,"Gregorian Quad A ","410D ",1,4/2/09 6:41:22
99,"Hope College ",108,1,4/2/09 6:41:42
99,"Hope College ",314,1,4/2/09 6:41:43
100,"Miller ",108,1,4/2/09 6:42:01
100,"Miller ",110,1,4/2/09 6:42:00
101,"Gregorian Quad A ","409B ",1,4/2/09 6:42:15
102,"Gregorian Quad A ","409E ",1,4/2/09 6:42:50
103,"No Show ",,,4/2/09 6:43:12
104,"Young Orchard #2 ",320,4,4/2/09 6:43:26
105,"Poland House ",319,1,4/2/09 6:43:47
106,"East Andrews ",308,1,4/2/09 6:44:17
106,"East Andrews ",358,1,4/2/09 6:44:19
106,"East Andrews ",360,1,4/2/09 6:44:21
106,"West Andrews ",307,1,4/2/09 6:44:04
106,"West Andrews ",355,1,4/2/09 6:44:06
106,"West Andrews ",357,1,4/2/09 6:44:10
107,"Gregorian Quad B ",207,5,4/2/09 6:44:51
108,"Gregorian Quad B ","401A ",1,4/2/09 6:45:14
108,"Gregorian Quad B ","401F ",1,4/2/09 6:45:15
108,"Gregorian Quad B ","403B ",1,4/2/09 6:45:11
109,"Barbour Hall ",304,1,4/2/09 6:45:47
110,"Metcalf ",312,1,4/2/09 6:46:05
111,"Metcalf ",125,1,4/2/09 6:46:18
112,"Drop to 159 ",,,4/2/09 6:46:43
113,"West Andrews ",417,1,4/2/09 6:47:08
113,"Young Orchard #2 ",240,4,4/2/09 6:47:19
114,"Young Orchard #2 ",430,4,4/2/09 6:47:38
115,"Gregorian Quad A ",305,3,4/2/09 6:47:49
116,"Metcalf ",320,1,4/2/09 6:48:03
117,"Young Orchard #2 ",220,4,4/2/09 6:48:16
117,"Young Orchard #2 ",230,4,4/2/09 6:48:18
118,"Young Orchard #10 ",430,4,4/2/09 6:48:32
119,"Young Orchard #2 ",210,4,4/2/09 6:48:45
120,"Barbour Hall Apartments ",240,4,4/2/09 6:49:05
120,"Gregorian Quad A ","409C ",1,4/2/09 6:49:10
121,"Metcalf ",407,1,4/2/09 6:49:36
122,"Gregorian Quad B ",307,5,4/2/09 6:49:56
123,"West Andrews ",207,1,4/2/09 6:50:34
124,"Young Orchard #4 ",420,4,4/2/09 6:50:46
125,"Emery ",207,1,4/2/09 6:51:45
125,"Wayland House ",327,1,4/2/09 6:51:37
125,"Wayland House ",330,1,4/2/09 6:51:41
126,"Hope College ",116,1,4/2/09 6:52:09
127,"Metcalf ",102,1,4/2/09 6:52:24
128,"Metcalf ",322,1,4/2/09 6:52:40
128,"Metcalf ",324,1,4/2/09 6:52:44
129,"East Andrews ",408,1,4/2/09 6:52:53
130,"Barbour Hall Apartments ",140,4,4/2/09 6:53:05
131,"Minden ",715,3,4/2/09 6:53:22
132,"Young Orchard #4 ",340,4,4/2/09 6:53:37
133,"East Andrews ",258,1,4/2/09 6:53:55
134,"Miller ",117,1,4/2/09 6:54:06
135,"Gregorian Quad A ",405,3,4/2/09 6:54:17
136,"East Andrews ",220,1,4/2/09 6:54:35
137,"Metcalf ",402,1,4/2/09 6:54:51
138,"Gregorian Quad A ","410F ",1,4/2/09 6:55:03
139,"Gregorian Quad B ","403E ",1,4/2/09 6:55:23
140,"Gregorian Quad A ",212,4,4/2/09 6:55:37
141,"East Andrews ",260,1,4/2/09 6:56:06
141,"East Andrews ",262,1,4/2/09 6:56:08
141,"West Andrews ",203,1,4/2/09 6:55:52
141,"West Andrews ",205,1,4/2/09 6:55:53
141,"West Andrews ",317,1,4/2/09 6:56:15
142,"Drop to 199 ",,,4/2/09 6:56:39
143,"East Andrews ",210,1,4/2/09 6:57:05
143,"West Andrews ",201,1,4/2/09 6:57:02
143,"Young Orchard #4 ",230,4,4/2/09 6:56:58
144,"East Andrews ",320,1,4/2/09 6:57:25
145,"Gregorian Quad A ","410E ",1,4/2/09 6:57:37
146,"No Show ",,,4/2/09 6:57:59
147,"No Show ",,,4/2/09 6:58:17
148,"West Andrews ",403,1,4/2/09 6:58:32
149,"Gregorian Quad A ",406,4,4/2/09 6:58:49
150,"Young Orchard #4 ",210,4,4/2/09 6:59:00
151,"Gregorian Quad B ","403D ",1,4/2/09 6:59:15
152,"No Show ",,,4/2/09 6:59:35
153,"West Andrews ",255,1,4/2/09 6:59:57
154,"Young Orchard #2 ",440,4,4/2/09 7:00:21
155,"Emery ",220,1,4/2/09 7:00:38
156,"No Show ",,,4/2/09 7:00:56
157,"Young Orchard #10 ",310,4,4/2/09 7:01:11
158,"Goddard House ",321,1,4/2/09 7:01:27
159,"Young Orchard #10 ",410,4,4/2/09 7:01:42
159,"Young Orchard #10 ",420,4,4/2/09 7:01:44
160,"West Andrews ",253,1,4/2/09 7:01:59
161,"East Andrews ",304,1,4/2/09 7:02:16
161,"East Andrews ",410,1,4/2/09 7:02:22
162,"Young Orchard #10 ",110,4,4/2/09 7:02:39
163,"Gregorian Quad B ","405D ",1,4/2/09 7:02:58
164,"Hegeman ","A201 ",3,4/2/09 7:03:18
165,"No Show ",,,4/2/09 7:03:34
166,"Goddard House ",330,1,4/2/09 7:03:52
167,"Gregorian Quad B ",204,4,4/2/09 7:06:43
167,"Gregorian Quad B ","401D ",1,4/2/09 7:06:47
167,"Gregorian Quad B ","401E ",1,4/2/09 7:06:45
167,"Gregorian Quad B ","402E ",1,4/2/09 7:06:46
167,"Gregorian Quad B ","405E ",1,4/2/09 7:06:50
168,"East Andrews ",356,1,4/2/09 7:06:56
169,"West Andrews ",301,1,4/2/09 7:07:01
170,"East Andrews ",456,1,4/2/09 7:07:10
170,"East Andrews ",462,1,4/2/09 7:07:13
171,"East Andrews ",310,1,4/2/09 7:07:24
172,"Drop to 191 ",,,4/2/09 7:07:42
173,"Young Orchard #4 ",120,4,4/2/09 7:07:55
174,"Sears House ","114B ",1,4/2/09 7:08:08
175,"No Show ",,,4/2/09 7:08:26
176,"Wayland House ",318,1,4/2/09 7:08:46
176,"Wayland House ",326,1,4/2/09 7:08:44
176,"Wayland House ",332,1,4/2/09 7:08:42
177,"East Andrews ",362,1,4/2/09 7:09:08
177,"West Andrews ",359,1,4/2/09 7:09:06
178,"Champlin ",108,1,4/2/09 7:09:44
178,"Gregorian Quad A ","410B ",1,4/2/09 7:09:35
179,"Gregorian Quad A ","410C ",1,4/2/09 7:09:58
180,"Gregorian Quad A ",301,4,4/2/09 7:10:17
181,"Metcalf ",302,1,4/2/09 7:10:48
182,"West Andrews ",401,1,4/2/09 7:11:02
183,"No Show ",,,4/2/09 7:11:18
184,"West Andrews ",353,1,4/2/09 7:11:32
185,"West Andrews ",453,1,4/2/09 7:11:46
186,"West Andrews ",259,1,4/2/09 7:11:56
187,"Metcalf ",306,1,4/2/09 7:12:16
188,"West Andrews ",459,1,4/2/09 7:12:34
189,"Wayland House ",212,1,4/2/09 7:12:51
190,"Drop to 191 ",,,4/2/09 7:13:06
191,"Young Orchard #4 ",430,4,4/2/09 7:13:16
192,"Wayland House ",230,1,4/2/09 7:13:27
193,"Hope College ",114,1,4/2/09 7:13:44
194,"Poland House ",332,1,4/2/09 7:13:59
195,"West Andrews ",407,1,4/2/09 7:14:13
196,"Metcalf ",418,1,4/2/09 7:14:38
196,"Young Orchard #4 ",220,4,4/2/09 7:14:31
197,"Metcalf ",315,1,4/2/09 7:14:53
198,"Metcalf ",310,1,4/2/09 7:15:06
199,"Gregorian Quad B ",205,4,4/2/09 7:15:26
200,"Metcalf ",404,1,4/2/09 7:15:42
201,"Metcalf ",412,1,4/2/09 7:16:03
,,,,
"(Beginning of Semester Level 6 Groups)",,,,
,,,,
202,"Woolley ",229,1,4/2/09 7:16:20
203,"Wayland House ",312,1,4/2/09 7:16:45
204,"Hope College ",206,1,4/2/09 7:16:58
205,"Hope College ",208,1,4/2/09 7:17:10
206,"Hope College ",106,1,4/2/09 7:17:20
207,"Wayland House ",213,1,4/2/09 7:17:36
208,"Metcalf ",413,1,4/2/09 7:17:52
209,"Metcalf ",323,1,4/2/09 7:18:39
210,"Metcalf ",308,1,4/2/09 7:18:50
211,"Metcalf ",325,1,4/2/09 7:19:02
212,"Emery ",204,1,4/2/09 7:19:14
,,,,
"(Beginning of Semester Level 5 Groups)",,,,
,,,,
213,"Wayland House ",346,1,4/2/09 7:19:26
214,"No Show ",,,4/2/09 7:19:44
215,"Metcalf ",104,1,4/2/09 7:20:08
216,"Wayland House ",237,1,4/2/09 7:20:23
217,"Young Orchard #4 ",410,4,4/2/09 7:20:37
217,"Young Orchard #4 ",440,4,4/2/09 7:20:39
218,"Metcalf ",314,1,4/2/09 7:20:54
218,"Metcalf ",316,1,4/2/09 7:20:58
218,"Metcalf ",317,1,4/2/09 7:21:11
218,"Metcalf ",318,1,4/2/09 7:21:02
219,"Champlin ",103,1,4/2/09 7:21:18
220,"Drop to 299 ",,,4/2/09 7:21:44
221,"Woolley ",318,1,4/2/09 7:21:54
222,"Drop to 266 ",,,4/2/09 7:22:16
223,"Drop to 399 ",,,4/2/09 7:22:40
224,"Young Orchard #4 ",240,4,4/2/09 7:22:45
225,"Drop to 249 ",,,4/2/09 7:23:10
226,"Metcalf ",123,1,4/2/09 7:23:19
227,"Gregorian Quad B ",107,5,4/2/09 7:23:33
228,"Drop to 393 ",,,4/2/09 7:23:53
229,"Olney House ",316,1,4/2/09 7:24:11
230,"Hegeman ","E215 ",3,4/2/09 7:24:32
231,"Metcalf ",419,1,4/2/09 7:24:53
232,"No Show ",,,4/2/09 7:25:10
233,"Morriss Hall ",201,6,4/2/09 7:25:39
234,"Drop to 235 ",,,4/2/09 7:25:53
235,"Gregorian Quad B ",303,4,4/2/09 7:26:07
235,"Gregorian Quad B ",304,4,4/2/09 7:26:09
236,"Minden ",815,3,4/2/09 7:26:28
237,"Young Orchard #10 ",120,4,4/2/09 7:26:39
238,"No Show ",,,4/2/09 7:26:58
239,"Gregorian Quad A ",403,4,4/2/09 7:27:15
240,"Metcalf ",409,1,4/2/09 7:27:29
241,"Sears House ",319,1,4/2/09 7:27:43
242,"Goddard House ",303,1,4/2/09 7:28:02
242,"Goddard House ",316,1,4/2/09 7:28:02
242,"Goddard House ",318,1,4/2/09 7:28:04
243,"Metcalf ",107,1,4/2/09 7:28:29
243,"Metcalf ",109,1,4/2/09 7:28:31
243,"Metcalf ",111,1,4/2/09 7:28:33
244,"Hegeman ","E113 ",3,4/2/09 7:29:22
245,"Hegeman ","C401 ",3,4/2/09 7:29:41
245,"Hegeman ","C402 ",3,4/2/09 7:29:44
246,"No Show ",,,4/2/09 7:30:15
247,"Drop to 368 ",,,4/2/09 7:30:26
248,"Emery ",320,1,4/2/09 7:30:50
249,"Gregorian Quad A ",304,4,4/2/09 7:31:06
250,"Olney House ",314,1,4/2/09 7:31:23
251,"Metcalf ",400,1,4/2/09 7:31:41
251,"Metcalf ",406,1,4/2/09 7:31:43
251,"Metcalf ",410,1,4/2/09 7:31:45
252,"Hegeman ","D210 ",3,4/2/09 7:32:00
253,"Metcalf ",112,1,4/2/09 7:32:13
254,"Wayland House ",304,1,4/2/09 7:32:29
255,"Minden ",407,2,4/2/09 7:32:46
256,"Goddard House ",221,1,4/2/09 7:33:02
257,"New Pembroke #3 ",212,1,4/2/09 7:33:17
258,"Wayland House ",313,1,4/2/09 7:33:30
259,"Young Orchard #4 ",110,4,4/2/09 7:33:49
260,"Metcalf ",408,1,4/2/09 7:34:17
261,"Hegeman ","E212 ",2,4/2/09 7:34:39
261,"Hegeman ","E214 ",2,4/2/09 7:34:36
262,"Hegeman ","B304 ",3,4/2/09 7:34:51
263,"Miller ",118,1,4/2/09 7:35:13
263,"Young Orchard #10 ",230,4,4/2/09 7:35:08
264,"Gregorian Quad B ",103,5,4/2/09 7:35:38
264,"Hope College ",316,1,4/2/09 7:35:45
265,"Miller ",100,1,4/2/09 7:36:07
265,"Miller ",105,2,4/2/09 7:36:09
266,"Champlin ",305,1,4/2/09 7:36:29
266,"Morriss Hall ",120,2,4/2/09 7:36:27
267,"Barbour Hall Apartments ",280,4,4/2/09 7:36:56
268,"Hope College ",406,1,4/2/09 7:37:23
268,"Hope College ",408,1,4/2/09 7:37:26
269,"No Show ",,,4/2/09 7:37:45
270,"Gregorian Quad B ",402,2,4/2/09 7:38:00
271,"Emery ",420,1,4/2/09 7:38:17
272,"Emery ",117,1,4/2/09 7:38:26
273,"Machado ",321,1,4/2/09 7:38:41
274,"Minden ",307,2,4/2/09 7:38:56
275,"Young Orchard #10 ",340,4,4/2/09 7:39:11
276,"Marcy House ",228,1,4/2/09 7:39:29
277,"Marcy House ","400B ",6,4/2/09 7:39:48
278,"Jameson House ",319,1,4/2/09 7:40:03
279,"Young Orchard #10 ",320,4,4/2/09 7:40:16
280,"No Show ",,,4/2/09 7:40:36
281,"Young Orchard #10 ",330,4,4/2/09 7:40:51
282,"Woolley ",107,1,4/2/09 7:41:09
282,"Young Orchard #10 ",440,4,4/2/09 7:41:04
283,"Metcalf ",414,1,4/2/09 7:41:36
284,"Drop to 379 ",,,4/2/09 7:41:55
285,"Woolley ",129,1,4/2/09 7:42:13
286,"Goddard House ",212,1,4/2/09 7:42:27
287,"No Show ",,,4/2/09 7:42:50
288,"Machado ",320,1,4/2/09 7:43:08
288,"Machado ",322,1,4/2/09 7:43:10
289,"Gregorian Quad B ",203,4,4/2/09 7:43:31
289,"Miller ",102,1,4/2/09 7:43:21
289,"New Pembroke #3 ",315,1,4/2/09 7:43:41
290,"Gregorian Quad A ",204,4,4/2/09 7:44:04
291,"No Show ",,,4/2/09 7:44:23
292,"Hegeman ","E116 ",3,4/2/09 7:44:40
293,"Hegeman ","B104 ",3,4/2/09 7:44:59
293,"Hegeman ","B107 ",3,4/2/09 7:45:06
293,"Hope College ",414,1,4/2/09 7:45:16
294,"Gregorian Quad A ",202,4,4/2/09 7:45:35
294,"Gregorian Quad A ",203,4,4/2/09 7:45:37
295,"Champlin ",323,1,4/2/09 7:45:52
296,"Grad Center C ",330,5,4/2/09 7:46:07
297,"Gregorian Quad A ",306,4,4/2/09 7:46:24
298,"Hegeman ","D309 ",3,4/2/09 7:46:40
298,"Hegeman ","D310 ",3,4/2/09 7:46:41
299,"Gregorian Quad A ",312,4,4/2/09 7:46:55
300,"Hegeman ","A301 ",3,4/2/09 7:47:11
300,"Hegeman ","A303 ",3,4/2/09 7:47:14
301,"Minden ",206,2,4/2/09 7:47:29
302,"Emery ",311,1,4/2/09 7:47:41
303,"Gregorian Quad A ",309,4,4/2/09 7:47:54
303,"Gregorian Quad A ",311,4,4/2/09 7:48:00
304,"Champlin ",306,1,4/2/09 7:48:07
305,"Sears House ",221,1,4/2/09 7:48:23
306,"Olney House ",224,1,4/2/09 7:48:41
307,"Gregorian Quad A ",401,4,4/2/09 7:49:13
308,"Grad Center C ",610,6,4/2/09 7:49:29
309,"Hegeman ","D110 ",3,4/2/09 7:49:43
309,"Hegeman ","D111 ",3,4/2/09 7:49:45
310,"Archibald House ",307,1,4/2/09 7:50:05
310,"Gregorian Quad A ",303,4,4/2/09 7:49:56
311,"Olney House ",321,1,4/2/09 7:50:23
312,"Minden ",814,2,4/2/09 7:50:38
313,"Gregorian Quad A ",214,4,4/2/09 7:50:51
314,"Gregorian Quad B ",306,4,4/2/09 7:51:07
315,"Hegeman ","C307 ",3,4/2/09 7:51:36
316,"Barbour Hall Apartments ",60,6,4/2/09 7:51:56
317,"Hegeman ","B204 ",3,4/2/09 7:52:23
317,"Hegeman ","B306 ",3,4/2/09 7:52:11
317,"Hegeman ","C308 ",3,4/2/09 7:52:32
317,"Hegeman ","E213 ",3,4/2/09 7:52:10
318,"Drop to 320 ",,,4/2/09 7:52:58
319,"Minden ",507,3,4/2/09 7:53:10
320,"Gregorian Quad A ",211,4,4/2/09 7:53:26
321,"Poland House ",327,1,4/2/09 7:53:54
322,"Barbour Hall Apartments ",130,3,4/2/09 7:54:19
322,"Hegeman ","C208 ",3,4/2/09 7:54:12
323,"Woolley ",329,1,4/2/09 7:54:35
324,"Minden ",802,3,4/2/09 7:55:08
325,"Hegeman ","C108 ",3,4/2/09 7:55:22
325,"Hegeman ","C109 ",3,4/2/09 7:55:24
326,"Hegeman ","E112 ",3,4/2/09 7:55:40
326,"New Pembroke #4 ",217,1,4/2/09 7:55:50
326,"New Pembroke #4 ",219,1,4/2/09 7:55:52
327,"Minden ",615,3,4/2/09 7:56:04
328,"Gregorian Quad B ",104,4,4/2/09 7:56:20
328,"Gregorian Quad B ",105,4,4/2/09 7:56:22
329,"Gregorian Quad A ",407,4,4/2/09 7:56:41
329,"Gregorian Quad A ",408,2,4/2/09 7:56:43
330,"Wayland House ","400A ",7,4/2/09 7:57:00
331,"No Show ",,,4/2/09 7:57:17
332,"No Show ",,,4/2/09 7:57:37
333,"Hegeman ","C209 ",3,4/2/09 7:58:16
333,"Machado ",124,1,4/2/09 7:58:21
334,"Barbour Hall Apartments ",260,5,4/2/09 7:58:39
335,"Hegeman ","B205 ",2,4/2/09 7:58:57
336,"Gregorian Quad B ",301,4,4/2/09 7:59:27
336,"Gregorian Quad B ",302,4,4/2/09 7:59:29
336,"Sears House ",309,1,4/2/09 7:59:34
337,"Grad Center A ",510,5,4/2/09 7:59:54
337,"New Pembroke #4 ",209,1,4/2/09 8:00:08
338,"Gregorian Quad A ",302,4,4/2/09 8:00:30
338,"Hegeman ","A203 ",3,4/2/09 8:00:25
339,"Hegeman ","D403 ",3,4/2/09 8:00:46
339,"Hegeman ","D404 ",3,4/2/09 8:00:49
340,"Goddard House ",332,1,4/2/09 8:01:17
340,"Goddard House ",333,1,4/2/09 8:01:18
340,"Goddard House ",334,1,4/2/09 8:01:21
340,"Hegeman ","A103 ",3,4/2/09 8:01:01
341,"Sears House ","114A ",1,4/2/09 8:01:36
342,"Gregorian Quad B ",208,4,4/2/09 8:01:48
342,"Mead House ",223,1,4/2/09 8:01:57
343,"New Pembroke #3 ",215,1,4/2/09 8:02:30
343,"New Pembroke #3 ",217,1,4/2/09 8:02:31
343,"New Pembroke #3 ",218,1,4/2/09 8:02:33
344,"Gregorian Quad A ",402,4,4/2/09 8:02:49
344,"Gregorian Quad A ",404,4,4/2/09 8:02:50
345,"Slater Hall ",102,3,4/2/09 8:03:17
345,"Slater Hall ",401,3,4/2/09 8:03:14
345,"Slater Hall ",404,3,4/2/09 8:03:12
346,"Minden ",401,3,4/2/09 8:03:27
347,"Gregorian Quad B ",206,4,4/2/09 8:03:44
348,"Olney House ",214,2,4/2/09 8:04:00
349,"Poland House ",207,1,4/2/09 8:04:21
349,"Poland House ",210,1,4/2/09 8:04:22
349,"Woolley ",206,1,4/2/09 8:05:05
349,"Woolley ",207,1,4/2/09 8:04:34
349,"Woolley ",306,1,4/2/09 8:05:07
350,"Gregorian Quad B ",308,4,4/2/09 8:05:15
350,"Gregorian Quad B ",310,4,4/2/09 8:05:17
351,"Woolley ",315,1,4/2/09 8:05:58
351,"Woolley ",316,1,4/2/09 8:06:02
351,"Woolley ",319,1,4/2/09 8:06:05
351,"Woolley ",418,1,4/2/09 8:06:14
351,"Woolley ",419,1,4/2/09 8:06:24
351,"Woolley ",429,1,4/2/09 8:06:10
352,"Gregorian Quad B ",210,4,4/2/09 8:06:42
353,"Drop to 415 ",,,4/2/09 8:07:06
354,"Minden ",215,3,4/2/09 8:07:20
355,"Woolley ",423,1,4/2/09 8:07:37
356,"Barbour Hall Apartments ",360,5,4/2/09 8:07:50
356,"Marcy House ",330,1,4/2/09 8:07:58
357,"Grad Center B ",310,6,4/2/09 8:08:19
357,"Grad Center B ",330,4,4/2/09 8:08:17
358,"Gregorian Quad A ",314,4,4/2/09 8:08:36
359,"No Show ",,,4/2/09 8:09:07
360,"Drop to 430 ",,,4/2/09 8:09:30
361,"Goddard House ",312,1,4/2/09 8:10:15
361,"Goddard House ",314,1,4/2/09 8:10:17
361,"Gregorian Quad A ",201,4,4/2/09 8:09:59
362,"Marcy House ","400A ",6,4/2/09 8:10:49
362,"New Pembroke #2 ",207,1,4/2/09 8:10:58
363,"Gregorian Quad B ",202,4,4/2/09 8:11:13
364,"Goddard House ",214,1,4/2/09 8:11:57
364,"New Pembroke #4 ",323,1,4/2/09 8:11:49
364,"New Pembroke #4 ",325,1,4/2/09 8:11:51
365,"Minden ",113,3,4/2/09 8:12:28
365,"Minden ",201,3,4/2/09 8:12:30
365,"Woolley ",113,1,4/2/09 8:12:18
366,"Olney House ",221,1,4/2/09 8:12:52
366,"Olney House ",222,1,4/2/09 8:12:53
366,"Olney House ",223,1,4/2/09 8:12:55
367,"Morriss Hall ",301,6,4/2/09 8:13:13
368,"Morriss Hall ",401,6,4/2/09 8:13:23
369,"Goddard House ",317,1,4/2/09 8:13:49
370,"Gregorian Quad B ",108,4,4/2/09 8:14:01
371,"Olney House ",322,1,4/2/09 8:14:17
371,"Olney House ",323,1,4/2/09 8:14:19
371,"Olney House ",324,1,4/2/09 8:14:22
372,"Sears House ","306A ",1,4/2/09 8:14:36
372,"Sears House ","306B ",1,4/2/09 8:14:37
372,"Sears House ",310,1,4/2/09 8:14:40
373,"Sears House ",220,1,4/2/09 8:15:15
373,"Sears House ",222,1,4/2/09 8:15:17
373,"Woolley ",406,1,4/2/09 8:15:03
373,"Woolley ",407,1,4/2/09 8:15:04
373,"Woolley ",415,1,4/2/09 8:15:10
374,"Gregorian Quad B ",201,4,4/2/09 8:15:31
